data_date,stock_id,stock_name,total_score,category,research_decision,research_signal,signal_strength,research_reason,research_role,industry_position,ai_relevance,is_bottleneck,industry_score,growth_score,ai_score,valuation_score,price_risk_score,risk_notes,research_note
2026-07-01,6669,緯穎,87,高研究吸引力,回檔布局候選,wait,中,公司品質高，但股價或籌碼風險偏高，不追價，等待回檔或風險下降,高關注標的,雲端資料中心與AI伺服器ODM,高,部分,23,23,19,17,5,客戶集中與AI資本支出循環；新平台量產與供應鏈執行風險,AI伺服器ODM核心觀察；公司條件佳但股價風險偏高
2026-07-01,2330,台積電,84,高研究吸引力,回檔布局候選,wait,中,公司品質高，但股價或籌碼風險偏高，不追價，等待回檔或風險下降,核心研究標的,先進製程與先進封裝,高,是,25,22,20,15,2,地緣政治；高額資本支出；先進封裝產能與良率風險,AI長期核心研究標的；不追價並等待股價風險改善
2026-07-01,2382,廣達,84,高研究吸引力,續列觀察,watch,中,公司條件不差，但等待估值、股價或基本面條件改善,高關注標的,AI伺服器設計製造與系統整合,高,部分,22,21,19,16,6,客戶集中；伺服器資本支出循環；供應鏈執行風險,關注AI伺服器出貨動能與估值合理性
2026-07-01,3324,雙鴻,80,高研究吸引力,續列觀察,watch,中,公司條件不差，但等待估值、股價或基本面條件改善,高關注標的,伺服器散熱與液冷方案,高,部分,21,22,18,12,7,客戶集中；液冷規格切換與量產認證風險,關注液冷滲透率與新平台量產進度
2026-07-01,3017,奇鋐,77,值得持續研究,續列觀察,watch,弱,公司分數尚可，但估值條件未達布局門檻,高關注標的,伺服器散熱與液冷零組件,高,部分,22,23,19,9,4,客戶集中；液冷技術路線與產能爬坡風險,關注液冷平台切換與產能爬坡
2026-07-01,2059,川湖,70,值得持續研究,續列觀察,watch,弱,具備部分題材或基本面，但尚未達到布局門檻,高關注標的,伺服器導軌與機構件,高,部分,22,23,17,6,2,客戶集中；伺服器平台更迭；擴產與良率風險,關注伺服器平台更迭與評價風險
2026-07-01,1519,華城,68,值得持續研究,續列觀察,watch,弱,具備部分題材或基本面，但尚未達到布局門檻,非主線觀察,大型變壓器與電力基礎設施,中,部分,20,21,12,7,8,電網與資料中心建置進度；專案交期及原物料風險,AI受益偏向電力基礎設施的間接需求
2026-07-01,2383,台光電,68,值得持續研究,暫不投入,avoid,中,估值與股價風險偏高，目前不適合追價,高關注標的,高速高頻銅箔基板材料,高,部分,22,23,18,2,3,上游材料供應與擴產進度；產品認證及景氣循環,關注高階材料需求與估值風險變化
2026-07-01,3711,日月光投控,65,值得持續研究,續列觀察,watch,弱,具備部分題材或基本面，但尚未達到布局門檻,高關注標的,半導體封裝測試與先進封裝,高,部分,22,18,16,7,2,半導體景氣循環；先進封裝擴產與同業競爭,關注先進封裝需求與產能利用率改善
2026-07-01,2454,聯發科,65,值得持續研究,續列觀察,watch,弱,具備部分題材或基本面，但尚未達到布局門檻,觀察標的,邊緣AI晶片與客製化運算晶片,中,否,22,18,14,7,4,手機市場集中；客製化晶片競爭與產品時程風險,關注邊緣AI與客製化晶片進展
2026-07-01,2408,南亞科,53,觀察追蹤,僅追蹤不投入,watch,弱,公司分數尚未達投入門檻，維持追蹤,景氣循環觀察,DRAM記憶體製造,中,否,17,13,10,8,5,記憶體價格循環；製程轉換與HBM產品競爭差距,關注DRAM價格循環與製程轉換進度
2026-07-01,2327,國巨,51,觀察追蹤,暫不投入,avoid,中,估值與股價風險偏高，目前不適合追價,景氣循環觀察,高階被動元件供應商,中,否,19,14,12,4,2,終端需求與庫存循環；併購整合及匯率風險,AI受益較間接；關注庫存循環與高階被動元件需求
