data_date,stock_id,stock_name,industry_position,ai_relevance,is_bottleneck,risk_notes,research_role,research_note,industry_score,growth_score,ai_score,valuation_score,price_risk_score,source
2026-07-01,6669,緯穎,雲端資料中心與AI伺服器ODM,高,部分,客戶集中與AI資本支出循環；新平台量產與供應鏈執行風險,高關注標的,AI伺服器ODM核心觀察；公司條件佳但股價風險偏高,23,23,19,17,5,https://www.twse.com.tw/pdf/ch/6669_ch.pdf
2026-07-01,2327,國巨,高階被動元件供應商,中,否,終端需求與庫存循環；併購整合及匯率風險,景氣循環觀察,AI受益較間接；關注庫存循環與高階被動元件需求,19,14,12,4,2,https://www.twse.com.tw/pdf/ch/2327_ch.pdf
2026-07-01,3711,日月光投控,半導體封裝測試與先進封裝,高,部分,半導體景氣循環；先進封裝擴產與同業競爭,高關注標的,關注先進封裝需求與產能利用率改善,22,18,16,7,2,https://www.twse.com.tw/pdf/ch/3711_ch.pdf
2026-07-01,1519,華城,大型變壓器與電力基礎設施,中,部分,電網與資料中心建置進度；專案交期及原物料風險,非主線觀察,AI受益偏向電力基礎設施的間接需求,20,21,12,7,8,https://www.twse.com.tw/pdf/ch/1519_ch.pdf
2026-07-01,3324,雙鴻,伺服器散熱與液冷方案,高,部分,客戶集中；液冷規格切換與量產認證風險,高關注標的,關注液冷滲透率與新平台量產進度,21,22,18,12,7,https://ic.tpex.org.tw/company_chain.php?stk_code=3324
2026-07-01,2330,台積電,先進製程與先進封裝,高,是,地緣政治；高額資本支出；先進封裝產能與良率風險,核心研究標的,AI長期核心研究標的；不追價並等待股價風險改善,25,22,20,15,2,https://www.twse.com.tw/pdf/ch/2330_ch.pdf
2026-07-01,2454,聯發科,邊緣AI晶片與客製化運算晶片,中,否,手機市場集中；客製化晶片競爭與產品時程風險,觀察標的,關注邊緣AI與客製化晶片進展,22,18,14,7,4,https://www.twse.com.tw/pdf/ch/2454_ch.pdf
2026-07-01,2383,台光電,高速高頻銅箔基板材料,高,部分,上游材料供應與擴產進度；產品認證及景氣循環,高關注標的,關注高階材料需求與估值風險變化,22,23,18,2,3,https://www.twse.com.tw/pdf/ch/2383_ch.pdf
2026-07-01,3017,奇鋐,伺服器散熱與液冷零組件,高,部分,客戶集中；液冷技術路線與產能爬坡風險,高關注標的,關注液冷平台切換與產能爬坡,22,23,19,9,4,https://www.twse.com.tw/pdf/ch/3017_ch.pdf
2026-07-01,2382,廣達,AI伺服器設計製造與系統整合,高,部分,客戶集中；伺服器資本支出循環；供應鏈執行風險,高關注標的,關注AI伺服器出貨動能與估值合理性,22,21,19,16,6,https://www.twse.com.tw/pdf/ch/2382_ch.pdf
2026-07-01,2059,川湖,伺服器導軌與機構件,高,部分,客戶集中；伺服器平台更迭；擴產與良率風險,高關注標的,關注伺服器平台更迭與評價風險,22,23,17,6,2,https://www.twse.com.tw/pdf/ch/2059_ch.pdf
2026-07-01,2408,南亞科,DRAM記憶體製造,中,否,記憶體價格循環；製程轉換與HBM產品競爭差距,景氣循環觀察,關注DRAM價格循環與製程轉換進度,17,13,10,8,5,https://www.twse.com.tw/pdf/ch/2408_ch.pdf
